customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,name,city,region,segment_original
C000031,8,10,202969.77000000002,5,3,2,10,Potential,Ikbal Khosla,Bhopal,Central,Regular
C000032,175,11,246417.97999999998,2,3,2,7,At Risk,Manya Bedi,Coimbatore,South,Platinum
C000033,3,11,268748.69,5,3,3,11,Loyal,Bishakha Bhatia,Kochi,South,Silver
C000034,9,8,562082.8,5,2,4,11,Loyal,Abhimanyu Mitra,Delhi,North,Regular
C000035,244,7,198116.46,1,2,2,5,Lost,Vamakshi Kar,Kolkata,East,Regular
C000036,0,14,824006.54,5,4,5,14,Champions,Ishwar Sen,Gurgaon,North,Regular
C000037,487,5,28819.440000000002,1,1,1,3,Lost,Zayan Hans,Lucknow,North,Occasional
C000038,970,1,246893.47,1,1,2,4,Lost,Deepa Bal,Chandigarh,North,New
C000039,116,17,629720.8300000001,2,5,5,12,Loyal,Omkaar Tank,Hyderabad,South,Silver
C000040,46,12,336172.34,4,4,3,11,Loyal,Chasmum Mani,Pune,West,Silver
C000041,36,10,291885.22,4,3,3,10,Potential,Watika Nagar,Kolkata,East,Regular
C000042,435,7,339234.64,1,2,3,6,Lost,Yashvi Sarraf,Chandigarh,North,Occasional
C000043,122,11,237861.84,2,3,2,7,At Risk,Odika Narayanan,Pune,West,Silver
C000044,201,3,68551.57,2,1,1,4,Lost,Irya Keer,Jaipur,North,New
C000045,164,8,523601.88,2,2,4,8,At Risk,Viraj Thaker,Hyderabad,South,Occasional
C000046,139,6,306458.98,2,2,3,7,At Risk,Janya Datta,Bhopal,Central,Regular
C000047,92,9,96188.73999999999,3,3,1,7,At Risk,Lekha Ray,Chandigarh,North,Silver
C000048,382,3,28296.480000000003,1,1,1,3,Lost,Victor Ahluwalia,Lucknow,North,Occasional
C000049,161,12,510156.82,2,4,4,10,Potential,Jalsa Sur,Kolkata,East,Gold
C000050,77,30,1053979.15,3,5,5,13,Champions,Finn Mall,Kochi,South,Diamond
C000051,3,9,169128.37,5,3,2,10,Potential,Utkarsh Mital,Hyderabad,South,Regular
C000052,954,1,20628.86,1,1,1,3,Lost,Kala Bava,Gurgaon,North,Regular
C000053,24,13,590495.89,5,4,5,14,Champions,Harinakshi Bains,Delhi,North,Regular
C000054,134,14,246631.0,2,4,2,8,At Risk,Vedant Sengupta,Visakhapatnam,South,Gold
C000055,190,5,71206.2,2,1,1,4,Lost,Logan Merchant,Kochi,South,New
C000056,8,10,660011.87,5,3,5,13,Champions,Dominic Upadhyay,Surat,West,Gold
C000057,196,12,997636.38,2,4,5,11,Loyal,Advay Thakur,Visakhapatnam,South,Diamond
C000058,173,6,189697.68,2,2,2,6,Lost,Nachiket Randhawa,Kolkata,East,Occasional
C000059,108,11,370645.59,3,3,3,9,Potential,Quincy Wadhwa,Ahmedabad,West,Silver
C000060,187,4,56242.86,2,1,1,4,Lost,Dipta Mital,Pune,West,Regular
C000061,170,12,367688.77,2,4,3,9,Potential,Tanveer Manda,Bangalore,South,Gold
C000062,21,9,292193.6,5,3,3,11,Loyal,Varenya Rana,Nagpur,Central,Regular
C000063,46,6,82389.31,4,2,1,7,At Risk,Mitesh Krishna,Nagpur,Central,Regular
C000064,336,7,214059.6,1,2,2,5,Lost,Bhanumati Hans,Nagpur,Central,Occasional
C000065,2,6,281191.63,5,2,3,10,Potential,Tristan Swamy,Kochi,South,Occasional
C000066,115,19,659378.8099999999,2,5,5,12,Loyal,Viraj Ganguly,Bangalore,South,Silver
C000067,87,4,172491.78,3,1,2,6,Lost,Jalsa Nadkarni,Gurgaon,North,Occasional
C000068,67,7,192312.66,3,2,2,7,At Risk,Faris Khalsa,Bangalore,South,Occasional
C000069,88,6,57062.869999999995,3,2,1,6,Lost,Warinder Bandi,Bhopal,Central,New
C000070,218,10,384231.23000000004,1,3,3,7,At Risk,Gaurav Ratta,Visakhapatnam,South,Occasional
C000071,45,7,155690.23,4,2,2,8,At Risk,Rachit Merchant,Mumbai,West,Regular
C000072,134,5,292445.76999999996,2,1,3,6,Lost,Watika Pant,Mumbai,West,Occasional
C000073,28,9,214250.91999999998,4,3,2,9,Potential,Idika Dar,Coimbatore,South,Silver
C000074,138,8,108411.88,2,2,1,5,Lost,Hemani Baral,Hyderabad,South,Regular
C000075,45,13,456565.34,4,4,4,12,Loyal,Yachana Bhargava,Jaipur,North,Gold
C000076,11,19,1054167.03,5,5,5,15,Champions,Hemang Dash,Kochi,South,Silver
C000077,2,2,31234.039999999997,5,1,1,7,At Risk,Kritika Upadhyay,Surat,West,New
C000078,60,12,669938.49,3,4,5,12,Loyal,Aarav Golla,Kochi,South,Silver
C000079,21,8,392914.67000000004,5,2,4,11,Loyal,Joshua Dhar,Surat,West,Regular
C000080,8,11,363026.95,5,3,3,11,Loyal,Maanav Warrior,Kochi,South,Occasional
C000081,42,8,204077.89,4,2,2,8,At Risk,Advay Pillay,Kochi,South,Regular
C000082,474,5,247608.57,1,1,2,4,Lost,Hiral Vohra,Vadodara,West,Regular
C000083,245,7,231417.75,1,2,2,5,Lost,Krisha Bumb,Chennai,South,Regular
C000084,76,6,417226.42,3,2,4,9,Potential,Radha Goyal,Delhi,North,Regular
C000085,80,4,478060.26,3,1,4,8,At Risk,Pavani Kala,Vadodara,West,Occasional
C000086,509,3,31905.730000000003,1,1,1,3,Lost,Rachita Doctor,Lucknow,North,Occasional
C000087,8,12,433402.48,5,4,4,13,Champions,Mohini Karpe,Lucknow,North,Regular
C000088,137,4,142802.85,2,1,2,5,Lost,Urvi Baral,Lucknow,North,Occasional
C000089,112,7,185452.59,3,2,2,7,At Risk,Madhavi Wagle,Chennai,South,Occasional
C000090,5,12,399038.11,5,4,4,13,Champions,Manthan Karnik,Chandigarh,North,Regular
C000091,10,12,223814.03999999998,5,4,2,11,Loyal,Nirja Sridhar,Delhi,North,Regular
C000092,31,9,146614.59,4,3,2,9,Potential,Warhi Lala,Chennai,South,Regular
C000093,2,5,71988.01000000001,5,1,1,7,At Risk,Vedhika Sathe,Coimbatore,South,Silver
C000094,282,7,257291.18000000002,1,2,3,6,Lost,Leena Nayar,Kolkata,East,Regular
C000095,143,6,258401.2,2,2,3,7,At Risk,Elijah Chawla,Vadodara,West,Regular
C000096,3,6,139128.6,5,2,2,9,Potential,Xavier Parmer,Chandigarh,North,Regular
C000097,681,8,178546.22999999998,1,2,2,5,Lost,Chatura Goda,Coimbatore,South,Regular
C000098,7,20,976324.51,5,5,5,15,Champions,Vamakshi Dugar,Chandigarh,North,Gold
C000099,91,14,346982.32,3,4,3,10,Potential,Max Rana,Lucknow,North,Silver
C000100,20,10,338287.78,5,3,3,11,Loyal,Devansh Prabhakar,Jaipur,North,Silver
C000101,11,15,946327.67,5,4,5,14,Champions,Baljiwan Tak,Indore,Central,Regular
C000102,28,10,162260.5,4,3,2,9,Potential,Karan Dar,Delhi,North,Regular
C000103,45,9,132599.22,4,3,2,9,Potential,Bhanumati Kumer,Indore,Central,Occasional
C000104,16,10,408731.95,5,3,4,12,Loyal,Oviya Pandya,Hyderabad,South,Silver
C000105,418,6,271527.82999999996,1,2,3,6,Lost,Kamala Rajan,Jaipur,North,Regular
C000106,113,4,167089.62,2,1,2,5,Lost,Charvi Seshadri,Mumbai,West,New
C000107,12,9,299770.38,5,3,3,11,Loyal,Daniel Gera,Ahmedabad,West,Regular
C000108,94,6,417754.45999999996,3,2,4,9,Potential,Bhavya Dugar,Kolkata,East,Silver
C000109,34,11,447301.7,4,3,4,11,Loyal,Benjamin Sha,Nagpur,Central,Silver
C000110,34,18,518629.68000000005,4,5,4,13,Champions,Ayaan Bala,Visakhapatnam,South,Platinum
C000111,12,17,592738.11,5,5,5,15,Champions,Megha Char,Pune,West,Platinum
C000112,136,9,238734.32,2,3,2,7,At Risk,Jagdish Setty,Mumbai,West,Regular
C000113,227,14,276354.98,1,4,3,8,At Risk,Dipta Viswanathan,Vadodara,West,Silver
C000114,510,2,27121.47,1,1,1,3,Lost,Kritika Divan,Bhopal,Central,Regular
C000115,172,14,842878.44,2,4,5,11,Loyal,Bhavani Bhakta,Bangalore,South,Silver
C000116,17,13,345312.48,5,4,3,12,Loyal,Saanvi Nori,Nagpur,Central,Regular
C000117,136,11,448697.81,2,3,4,9,Potential,Harinakshi Seth,Hyderabad,South,Regular
C000118,33,10,123666.04,4,3,2,9,Potential,Rachit Rao,Lucknow,North,Regular
C000119,62,9,212991.2,3,3,2,8,At Risk,Raagini Chandran,Hyderabad,South,Regular
C000120,67,6,369673.97,3,2,3,8,At Risk,Harini Dube,Pune,West,Occasional
C000121,817,2,32596.920000000002,1,1,1,3,Lost,Bachittar Dugar,Jaipur,North,New
C000122,2,15,495984.2,5,4,4,13,Champions,Lucky Hora,Surat,West,Regular
C000123,5,10,204597.09,5,3,2,10,Potential,Madhav Sood,Surat,West,Silver
C000124,604,2,190404.13,1,1,2,4,Lost,Jairaj Kota,Lucknow,North,New
C000125,124,7,176199.86,2,2,2,6,Lost,Alka Nagi,Ahmedabad,West,Occasional
C000126,76,11,243649.90999999997,3,3,2,8,At Risk,Dayita Mitra,Bhopal,Central,Silver
C000127,82,6,112446.44,3,2,1,6,Lost,Dominic Bhandari,Hyderabad,South,Regular
C000128,181,11,464692.32,2,3,4,9,Potential,Zansi Keer,Kochi,South,Regular
C000129,43,12,775959.3,4,4,5,13,Champions,Kavya Mall,Kolkata,East,Regular
C000130,30,8,177698.59,4,2,2,8,At Risk,Mohammed Nair,Lucknow,North,Occasional
C000131,884,2,41001.73,1,1,1,3,Lost,Aarna Lall,Nagpur,Central,New
C000132,506,6,87383.59999999999,1,2,1,4,Lost,Lila Bedi,Bhopal,Central,Regular
C000133,46,14,540852.65,4,4,4,12,Loyal,Libni Shetty,Hyderabad,South,Gold
C000134,80,16,989893.7,3,5,5,13,Champions,Utkarsh Dubey,Lucknow,North,Silver
C000135,102,5,372994.33999999997,3,1,3,7,At Risk,Tanvi Mittal,Surat,West,Occasional
C000136,40,10,246300.31,4,3,2,9,Potential,Jhalak Hari,Visakhapatnam,South,Regular
C000137,693,5,111932.93000000001,1,1,1,3,Lost,Ekaraj Maharaj,Chennai,South,Regular
C000138,190,10,247119.80000000002,2,3,2,7,At Risk,Varsha Hari,Chandigarh,North,Gold
C000139,36,15,371561.57999999996,4,4,3,11,Loyal,Upasna Kar,Kolkata,East,Regular
C000140,812,1,4579.86,1,1,1,3,Lost,Abhiram Sahni,Surat,West,New
C000141,44,11,338797.01,4,3,3,10,Potential,Lucky Dani,Jaipur,North,Occasional
C000142,10,4,78588.4,5,1,1,7,At Risk,Alka Shroff,Surat,West,New
C000143,22,9,138738.83,5,3,2,10,Potential,Ria Muni,Lucknow,North,Silver
C000144,85,7,165835.51,3,2,2,7,At Risk,Balhaar Rama,Kochi,South,Occasional
C000145,64,16,176204.92,3,5,2,10,Potential,Rachana Sundaram,Vadodara,West,Silver
C000146,27,11,851959.4,4,3,5,12,Loyal,Saksham Shah,Delhi,North,Occasional
C000147,23,9,579265.9,5,3,5,13,Champions,Adweta Bajwa,Gurgaon,North,Platinum
C000148,217,1,27861.34,1,1,1,3,Lost,Yashoda Hans,Jaipur,North,New
C000149,41,6,272356.83,4,2,3,9,Potential,Chaaya Hans,Pune,West,Occasional
C000150,8,11,636977.5700000001,5,3,5,13,Champions,Owen Chakrabarti,Jaipur,North,Regular
C000151,374,4,63849.200000000004,1,1,1,3,Lost,Shivani Nadkarni,Delhi,North,Occasional
C000152,72,9,230185.39,3,3,2,8,At Risk,Kiaan Nori,Chandigarh,North,Regular
C000153,0,7,154740.33,5,2,2,9,Potential,Kevin Narain,Pune,West,Regular
C000154,253,6,494198.1699999999,1,2,4,7,At Risk,Gauri Mander,Nagpur,Central,Regular
C000155,26,6,180187.56999999998,4,2,2,8,At Risk,Siddharth Choudhury,Ahmedabad,West,Gold
C000156,365,9,917459.59,1,3,5,9,Potential,Yug Gandhi,Vadodara,West,Occasional
C000157,170,2,49428.1,2,1,1,4,Lost,Onveer Aggarwal,Mumbai,West,New
C000158,8,15,896813.6900000001,5,4,5,14,Champions,Udant Misra,Surat,West,Regular
C000159,212,7,314796.12,2,2,3,7,At Risk,Maya Chauhan,Visakhapatnam,South,Silver
C000160,3,19,616684.37,5,5,5,15,Champions,Jacob Bhagat,Mumbai,West,Platinum
C000161,154,5,112725.19,2,1,1,4,Lost,Watika Vaidya,Nagpur,Central,Regular
C000162,260,11,313248.45999999996,1,3,3,7,At Risk,Chakradev Narang,Chennai,South,Gold
C000163,37,5,309232.21,4,1,3,8,At Risk,Krishna Bala,Gurgaon,North,New
C000164,304,2,2391.66,1,1,1,3,Lost,Adweta Minhas,Vadodara,West,Occasional
C000165,65,8,227625.36,3,2,2,7,At Risk,Kai Ravel,Bhopal,Central,Regular
C000166,146,13,434669.05,2,4,4,10,Potential,Harish Minhas,Kochi,South,Regular
C000167,180,2,27326.48,2,1,1,4,Lost,Leela Din,Lucknow,North,Regular
C000168,42,13,421274.57999999996,4,4,4,12,Loyal,Anirudh Varghese,Bangalore,South,Gold
C000169,130,1,24260.7,2,1,1,4,Lost,Eta Bobal,Nagpur,Central,New
C000170,24,15,731731.87,5,4,5,14,Champions,Aachal Agrawal,Nagpur,Central,Gold
C000171,142,10,526736.85,2,3,4,9,Potential,Ekanta Sankar,Pune,West,Silver
C000172,112,15,903312.89,3,4,5,12,Loyal,Nisha Radhakrishnan,Delhi,North,Silver
C000173,35,15,662418.82,4,4,5,13,Champions,Tanveer Taneja,Gurgaon,North,Gold
C000174,104,5,67109.5,3,1,1,5,Lost,Mugdha Karan,Mumbai,West,Occasional
C000175,476,1,8019.89,1,1,1,3,Lost,Aayush Mital,Coimbatore,South,New
C000176,82,26,1422657.91,3,5,5,13,Champions,Vamakshi Menon,Gurgaon,North,Diamond
C000177,380,3,28374.03,1,1,1,3,Lost,Vivaan Raja,Surat,West,Occasional
C000178,132,18,916723.31,2,5,5,12,Loyal,Rachita Lall,Bangalore,South,Regular
C000179,44,4,208407.39,4,1,2,7,At Risk,Vrishti Edwin,Bhopal,Central,Regular
C000180,81,9,293249.39,3,3,3,9,Potential,Unni Shan,Coimbatore,South,Regular
C000181,55,7,196718.45,4,2,2,8,At Risk,Aarnav Yogi,Nagpur,Central,Regular
C000182,129,3,27238.56,2,1,1,4,Lost,Priya Gera,Gurgaon,North,Occasional
C000183,54,10,345231.20999999996,4,3,3,10,Potential,Advaith Seth,Chennai,South,Regular
C000184,22,17,622810.83,5,5,5,15,Champions,Bakhshi Choudhury,Vadodara,West,Platinum
C000185,8,19,479625.71,5,5,4,14,Champions,Jagdish Panchal,Gurgaon,North,Regular
C000186,133,8,243747.69,2,2,2,6,Lost,Libni Chand,Lucknow,North,Regular
C000187,164,11,187542.49000000002,2,3,2,7,At Risk,Aadi Grover,Chandigarh,North,Regular
C000188,8,25,581883.79,5,5,5,15,Champions,Ati Sarraf,Kochi,South,Diamond
C000189,8,13,636717.47,5,4,5,14,Champions,Noah Batta,Ahmedabad,West,Silver
C000190,304,5,40942.51,1,1,1,3,Lost,Chandresh Dasgupta,Pune,West,Regular
C000191,88,3,242786.65999999997,3,1,2,6,Lost,Jasmit Bali,Vadodara,West,Occasional
C000192,25,20,702104.72,5,5,5,15,Champions,Dev Natt,Chennai,South,Gold
C000193,1,16,339657.82,5,5,3,13,Champions,Janaki Kibe,Delhi,North,Gold
C000194,61,14,810819.9400000001,3,4,5,12,Loyal,Pallavi Butala,Bangalore,South,Regular
C000195,83,7,396386.71,3,2,4,9,Potential,Ati Bhardwaj,Ahmedabad,West,Occasional
C000196,4,15,585570.01,5,4,5,14,Champions,Fiyaz Som,Kolkata,East,Gold
C000197,254,9,418178.58,1,3,4,8,At Risk,Ekansh Salvi,Pune,West,Silver
C000198,52,31,1086337.38,4,5,5,14,Champions,Mekhala Suresh,Nagpur,Central,Diamond
C000199,66,30,789068.8400000001,3,5,5,13,Champions,Rachit Lad,Pune,West,Diamond
C000200,75,5,47174.77,3,1,1,5,Lost,Robert Raja,Chandigarh,North,Regular
C000201,29,17,475640.95,4,5,4,13,Champions,Chatresh Divan,Chandigarh,North,Gold
C000202,449,3,116367.07,1,1,1,3,Lost,Yashodhara Bhargava,Coimbatore,South,New
C000203,150,13,386258.9,2,4,4,10,Potential,Widisha Rana,Pune,West,Gold
C000204,178,6,359985.02,2,2,3,7,At Risk,Oeshi Dass,Indore,Central,Occasional
C000205,10,12,428629.45,5,4,4,13,Champions,Bhavani Batta,Pune,West,Regular
C000206,306,6,258705.56,1,2,3,6,Lost,Amaira Dave,Indore,Central,Occasional
C000207,4,9,245163.06,5,3,2,10,Potential,Kashish Rao,Hyderabad,South,Silver
C000208,7,30,626230.92,5,5,5,15,Champions,Hamsini Wali,Chandigarh,North,Diamond
C000209,111,2,3415.9,3,1,1,5,Lost,Keya Krishnamurthy,Hyderabad,South,New
C000210,5,8,57955.43,5,2,1,8,At Risk,Bina Kadakia,Lucknow,North,Silver
C000211,77,6,210822.13999999998,3,2,2,7,At Risk,Barkha Majumdar,Lucknow,North,Regular
C000212,61,1,6939.79,3,1,1,5,Lost,Omkaar Konda,Bangalore,South,New
C000213,430,9,68656.75,1,3,1,5,Lost,Jeremiah Kara,Delhi,North,Occasional
C000214,167,6,176122.02000000002,2,2,2,6,Lost,Ati Lall,Kochi,South,Occasional
C000215,96,8,50955.54,3,2,1,6,Lost,Advaith Dhawan,Ahmedabad,West,Gold
C000216,70,14,205762.77,3,4,2,9,Potential,Tanvi Shan,Chennai,South,Gold
C000217,344,3,103405.32,1,1,1,3,Lost,Damini Chand,Mumbai,West,Occasional
C000218,74,6,236751.63,3,2,2,7,At Risk,Chatresh Jayaraman,Lucknow,North,Occasional
C000219,92,10,285052.26,3,3,3,9,Potential,Yashawini Soman,Kolkata,East,Regular
C000220,199,15,495059.34,2,4,4,10,Potential,Manbir Mittal,Coimbatore,South,Gold
C000221,55,5,563368.47,4,1,4,9,Potential,Lakshmi Kohli,Hyderabad,South,Silver
C000222,56,35,1145315.73,4,5,5,14,Champions,Anmol Dada,Pune,West,Diamond
C000223,271,6,328168.83,1,2,3,6,Lost,Gopal Swamy,Jaipur,North,Regular
C000224,2,17,583073.32,5,5,5,15,Champions,Mason Banik,Delhi,North,Diamond
C000225,3,5,166139.97,5,1,2,8,At Risk,Quincy Ghosh,Mumbai,West,Occasional
C000226,743,1,21097.35,1,1,1,3,Lost,Niharika Kota,Mumbai,West,New
C000227,14,10,494086.28,5,3,4,12,Loyal,Yamini Venkataraman,Coimbatore,South,Occasional
C000228,22,13,86342.56,5,4,1,10,Potential,Frado Warrior,Delhi,North,Gold
C000229,9,21,478939.27,5,5,4,14,Champions,Rajeshri Prakash,Bangalore,South,Platinum
C000230,81,8,178184.22999999998,3,2,2,7,At Risk,Advay Balakrishnan,Gurgaon,North,Regular
C000231,163,5,527546.65,2,1,4,7,At Risk,Harish Madan,Visakhapatnam,South,Gold
C000232,47,8,181890.63,4,2,2,8,At Risk,Vinaya Desai,Jaipur,North,Regular
C000233,47,10,474126.36,4,3,4,11,Loyal,Ishanvi Tripathi,Bhopal,Central,Silver
C000234,495,4,472027.82,1,1,4,6,Lost,Vansha Dube,Hyderabad,South,New
C000235,95,9,466356.99,3,3,4,10,Potential,Idika Sachdeva,Vadodara,West,Regular
C000236,80,13,589842.46,3,4,5,12,Loyal,Advika Kapoor,Coimbatore,South,Gold
C000237,82,9,157243.66,3,3,2,8,At Risk,Krish Shanker,Bangalore,South,Silver
C000238,136,6,386263.08,2,2,4,8,At Risk,Warda Kade,Lucknow,North,Occasional
C000239,14,17,436088.64,5,5,4,14,Champions,Vyanjana Rana,Jaipur,North,Silver
C000240,87,8,496876.11,3,2,4,9,Potential,Matthew Modi,Lucknow,North,Occasional
C000241,195,7,192402.51,2,2,2,6,Lost,Gunbir Johal,Nagpur,Central,Occasional
C000242,132,9,260355.16999999998,2,3,3,8,At Risk,Anamika Raman,Chennai,South,Occasional
C000243,107,6,158145.16,3,2,2,7,At Risk,Pranav Brahmbhatt,Chennai,South,Regular
C000244,45,9,454822.65,4,3,4,11,Loyal,Darsh Memon,Chandigarh,North,Occasional
C000245,117,6,321682.88,2,2,3,7,At Risk,Jagrati Amble,Kolkata,East,Occasional
C000246,39,8,235402.15,4,2,2,8,At Risk,Aayush Murthy,Mumbai,West,Gold
C000247,164,12,198554.51,2,4,2,8,At Risk,Robert Walia,Delhi,North,Silver
C000248,68,14,557987.95,3,4,4,11,Loyal,Ekbal Raghavan,Indore,Central,Regular
C000249,80,5,390120.83999999997,3,1,4,8,At Risk,Madhav Kar,Vadodara,West,Regular
C000250,40,11,434315.93,4,3,4,11,Loyal,Parth Mitra,Pune,West,Regular
C000251,123,11,326248.97000000003,2,3,3,8,At Risk,Azaan Sankar,Bhopal,Central,Regular
C000252,461,6,269885.8,1,2,3,6,Lost,Lakshmi Seshadri,Jaipur,North,Gold
C000254,35,13,435786.64,4,4,4,12,Loyal,Triya Varughese,Surat,West,Silver
C000255,380,8,356661.0,1,2,3,6,Lost,Yatan Prabhakar,Kochi,South,Regular
C000256,6,22,704901.86,5,5,5,15,Champions,Hemani Parmer,Indore,Central,Platinum
C000257,214,4,97680.85,2,1,1,4,Lost,Jai Chada,Chennai,South,New
C000258,13,15,958482.85,5,4,5,14,Champions,Theodore Ganesan,Nagpur,Central,Silver
C000259,6,8,111751.19,5,2,1,8,At Risk,Ikshita Keer,Lucknow,North,Gold
C000260,76,8,261869.06,3,2,3,8,At Risk,Faqid Biswas,Gurgaon,North,Silver
C000261,267,5,323352.41000000003,1,1,3,5,Lost,Owen Saraf,Coimbatore,South,New
C000262,80,14,571328.78,3,4,4,11,Loyal,Matthew Ray,Coimbatore,South,Silver
C000263,114,24,610253.2,2,5,5,12,Loyal,Qasim Bhatnagar,Ahmedabad,West,Gold
C000264,134,5,184578.58000000002,2,1,2,5,Lost,Neelima Karan,Indore,Central,Occasional
C000265,196,6,206130.55,2,2,2,6,Lost,Oviya Char,Coimbatore,South,Regular
C000266,233,3,239183.75,1,1,2,4,Lost,Agastya Comar,Indore,Central,Occasional
C000267,122,10,666180.23,2,3,5,10,Potential,Tanvi Dugar,Coimbatore,South,Regular
C000268,262,10,224100.73,1,3,2,6,Lost,Warjas Oak,Hyderabad,South,Silver
C000269,248,8,204385.13999999998,1,2,2,5,Lost,Ati Sathe,Visakhapatnam,South,Regular
C000270,17,6,171677.53,5,2,2,9,Potential,Kalpit Dave,Chennai,South,Occasional
C000271,5,4,453448.29000000004,5,1,4,10,Potential,Wahab Malhotra,Jaipur,North,Occasional
C000272,576,3,174040.42,1,1,2,4,Lost,Ishanvi Bahri,Chandigarh,North,New
C000273,155,11,567882.3400000001,2,3,4,9,Potential,Vedant Nigam,Coimbatore,South,Silver
C000274,30,8,190352.84,4,2,2,8,At Risk,Omaja Raja,Nagpur,Central,Occasional
C000275,131,15,522903.94,2,4,4,10,Potential,Damyanti Wable,Lucknow,North,Gold
C000276,119,8,129031.08,2,2,2,6,Lost,Dalbir Grover,Bhopal,Central,Silver
C000277,201,6,166231.33,2,2,2,6,Lost,Edhitha Chhabra,Visakhapatnam,South,Gold
C000278,131,4,47368.75,2,1,1,4,Lost,Yochana Mallick,Chennai,South,Occasional
C000279,56,5,304420.67,4,1,3,8,At Risk,Nitara Bhatia,Kolkata,East,Regular
C000280,464,7,239292.47999999998,1,2,2,5,Lost,Frado Tailor,Kolkata,East,Silver
C000281,68,8,863226.71,3,2,5,10,Potential,Ira Dhawan,Pune,West,Silver
C000282,254,4,178995.61,1,1,2,4,Lost,Alexander Dave,Bangalore,South,Occasional
C000284,145,6,560449.98,2,2,4,8,At Risk,Radha Muni,Hyderabad,South,Occasional
C000285,15,10,321320.57,5,3,3,11,Loyal,Nathan Atwal,Chennai,South,Gold
C000286,8,20,846941.18,5,5,5,15,Champions,Manbir Sachdev,Hyderabad,South,Diamond
C000287,114,3,254791.89,2,1,3,6,Lost,Gautam Puri,Visakhapatnam,South,Occasional
C000288,56,14,218479.76,4,4,2,10,Potential,Aditya Dara,Nagpur,Central,Silver
C000289,37,7,348002.29000000004,4,2,3,9,Potential,Ikshita Chahal,Bhopal,Central,Occasional
C000290,83,11,449627.04,3,3,4,10,Potential,Zayan Bhandari,Kochi,South,Gold
C000291,267,7,638399.43,1,2,5,8,At Risk,Ayaan Prabhakar,Jaipur,North,Silver
C000292,117,8,165016.5,2,2,2,6,Lost,Abhimanyu Bawa,Gurgaon,North,Regular
C000293,485,6,123294.64,1,2,1,4,Lost,Timothy Vohra,Surat,West,Occasional
C000294,6,12,556170.66,5,4,4,13,Champions,Xalak Chakraborty,Hyderabad,South,Silver
C000295,860,1,689.76,1,1,1,3,Lost,Aayush Shenoy,Visakhapatnam,South,New
